Name,Possible Value,Increment,Unit,Range,Read Only,Title,Description,,,,,,
AHRS_ORIENTATION,0,,List,0:None 1:Yaw45 2:Yaw90 3:Yaw135 4:Yaw180 5:Yaw225 6:Yaw270 7:Yaw315 8:Roll180 9:Roll180Yaw45 10:Roll180Yaw90 11:Roll180Yaw135 12:Pitch180 13:Roll180Yaw225 14:Roll180Yaw270 15:Roll180Yaw315 16:Roll90 17:Roll90Yaw45 18:Roll90Yaw90 19:Roll90Yaw135 20:Roll270 21:Roll270Yaw45 22:Roll270Yaw90 23:Roll270Yaw136 24:Pitch90 25:Pitch270 26:Pitch180Yaw90 27:Pitch180Yaw270 28:Roll90Pitch90 29:Roll180Pitch90 30:Roll270Pitch90 31:Roll90Pitch180 32:Roll270Pitch180 33:Roll90Pitch270 34:Roll180Pitch270 35:Roll270Pitch270 36:Roll90Pitch180Yaw90 37:Roll90Yaw270,FALSE,,,0,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""None"");put(1,""Yaw45"");put(2,""Yaw90"");put(3,""Yaw135"");put(4,""Yaw180"");put(5,""Yaw225"");put(6,""Yaw270"");put(7,""Yaw315"");put(8,""Roll180"");put(9,""Roll180Yaw45"");put(10,""Roll180Yaw90"");put(11,""Roll180Yaw135"");put(12,""Pitch180"");put(13,""Roll180Yaw225"");put(14,""Roll180Yaw270"");put(15,""Roll180Yaw315"");put(16,""Roll90"");put(17,""Roll90Yaw45"");put(18,""Roll90Yaw90"");put(19,""Roll90Yaw135"");put(20,""Roll270"");put(21,""Roll270Yaw45"");put(22,""Roll270Yaw90"");put(23,""Roll270Yaw136"");put(24,""Pitch90"");put(25,""Pitch270"");put(26,""Pitch180Yaw90"");put(27,""Pitch180Yaw270"");put(28,""Roll90Pitch90"");put(29,""Roll180Pitch90"");put(30,""Roll270Pitch90"");put(31,""Roll90Pitch180"");put(32,""Roll270Pitch180"");put(33,""Roll90Pitch270"");put(34,""Roll180Pitch270"");put(35,""Roll270Pitch270"");put(36,""Roll90Pitch180Yaw90"");put(37,""Roll90Yaw270"");}};",true,"AHRS_ORIENTATION(0,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""None"");put(1,""Yaw45"");put(2,""Yaw90"");put(3,""Yaw135"");put(4,""Yaw180"");put(5,""Yaw225"");put(6,""Yaw270"");put(7,""Yaw315"");put(8,""Roll180"");put(9,""Roll180Yaw45"");put(10,""Roll180Yaw90"");put(11,""Roll180Yaw135"");put(12,""Pitch180"");put(13,""Roll180Yaw225"");put(14,""Roll180Yaw270"");put(15,""Roll180Yaw315"");put(16,""Roll90"");put(17,""Roll90Yaw45"");put(18,""Roll90Yaw90"");put(19,""Roll90Yaw135"");put(20,""Roll270"");put(21,""Roll270Yaw45"");put(22,""Roll270Yaw90"");put(23,""Roll270Yaw136"");put(24,""Pitch90"");put(25,""Pitch270"");put(26,""Pitch180Yaw90"");put(27,""Pitch180Yaw270"");put(28,""Roll90Pitch90"");put(29,""Roll180Pitch90"");put(30,""Roll270Pitch90"");put(31,""Roll90Pitch180"");put(32,""Roll270Pitch180"");put(33,""Roll90Pitch270"");put(34,""Roll180Pitch270"");put(35,""Roll270Pitch270"");put(36,""Roll90Pitch180Yaw90"");put(37,""Roll90Yaw270"");}};,true,"""",""""),"
AHRS_RP_P,0.1,,,0.1 0.4,FALSE,,This controls how fast the accelerometers correct the attitude,0.1,1,MAV_PARAM_UNIT.UNKNOWN,"0.1,0.4",true,"AHRS_RP_P(0.1,1,MAV_PARAM_UNIT.UNKNOWN,0.1,0.4,true,"""",""This controls how fast the accelerometers correct the attitude""),"
AHRS_TRIM_X,0.0004882812,,Radians,-0.1745 0.1745,FALSE,,Compensates for the roll angle difference between the control board and the frame. Positive values make the vehicle roll right.,0.0004882812,1,MAV_PARAM_UNIT.Radians,"-0.1745,0.1745",true,"AHRS_TRIM_X(0.0004882812,1,MAV_PARAM_UNIT.Radians,-0.1745,0.1745,true,"""",""Compensates for the roll angle difference between the control board and the frame. Positive values make the vehicle roll right.""),"
AHRS_TRIM_Y,0.02518386,,Radians,-0.1745 0.1745,FALSE,,Compensates for the pitch angle difference between the control board and the frame. Positive values make the vehicle pitch up/back.,0.02518386,1,MAV_PARAM_UNIT.Radians,"-0.1745,0.1745",true,"AHRS_TRIM_Y(0.02518386,1,MAV_PARAM_UNIT.Radians,-0.1745,0.1745,true,"""",""Compensates for the pitch angle difference between the control board and the frame. Positive values make the vehicle pitch up/back.""),"
AHRS_TRIM_Z,0,,Radians,-0.1745 0.1745,FALSE,,Not Used,0,1,MAV_PARAM_UNIT.Radians,"-0.1745,0.1745",true,"AHRS_TRIM_Z(0,1,MAV_PARAM_UNIT.Radians,-0.1745,0.1745,true,"""",""Not Used""),"
AHRS_WIND_MAX,0,,m/s,0 127,FALSE,,This sets the maximum allowable difference between ground speed and airspeed. This allows the plane to cope with a failing airspeed sensor. A value of zero means to use the airspeed as is.,0,1,MAV_PARAM_UNIT.m_s,"0,127",true,"AHRS_WIND_MAX(0,1,MAV_PARAM_UNIT.m_s,0,127,true,"""",""This sets the maximum allowable difference between ground speed and airspeed. This allows the plane to cope with a failing airspeed sensor. A value of zero means to use the airspeed as is.""),"
AHRS_YAW_P,0.1,,,0.1 0.4,FALSE,,This controls the weight the compass or GPS has on the heading. A higher value means the heading will track the yaw source (GPS or compass) more rapidly.,0.1,1,MAV_PARAM_UNIT.UNKNOWN,"0.1,0.4",true,"AHRS_YAW_P(0.1,1,MAV_PARAM_UNIT.UNKNOWN,0.1,0.4,true,"""",""This controls the weight the compass or GPS has on the heading. A higher value means the heading will track the yaw source (GPS or compass) more rapidly.""),"
ANGLE_MAX,4500,,Centi-degrees,1000 8000,FALSE,,Maximum lean angle in all flight modes,4500,1,MAV_PARAM_UNIT.Centi_degrees,"1000,8000",true,"ANGLE_MAX(4500,1,MAV_PARAM_UNIT.Centi_degrees,1000,8000,true,"""",""Maximum lean angle in all flight modes""),"
ARMING_CHECK,94,,List,0:Disabled 1:Enabled -3:SkipBaro -5:SkipCompass -9:SkipGPS -17:SkipINS -33:SkipParams/Rangefinder -65:SkipRC 127:SkipVoltage,FALSE,,"Allows enabling or disabling of pre-arming checks of receiver, accelerometer, barometer, compass and GPS",94,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled"");put(-3,""SkipBaro"");put(-5,""SkipCompass"");put(-9,""SkipGPS"");put(-17,""SkipINS"");put(-33,""SkipParams/Rangefinder"");put(-65,""SkipRC"");put(127,""SkipVoltage"");}};",true,"ARMING_CHECK(94,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled"");put(-3,""SkipBaro"");put(-5,""SkipCompass"");put(-9,""SkipGPS"");put(-17,""SkipINS"");put(-33,""SkipParams/Rangefinder"");put(-65,""SkipRC"");put(127,""SkipVoltage"");}};,true,"""",""Allows enabling or disabling of pre-arming checks of receiver, accelerometer, barometer, compass and GPS""),"
ATC_ACCEL_RP_MAX,0,,,,FALSE,,Coming soon,0,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"ATC_ACCEL_RP_MAX(0,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"""",""Coming soon""),"
ATC_ACCEL_Y_MAX,0,,Centi-Degrees/Sec/Sec,0 720000:Disabled 18000:Slow 36000:Medium 54000:Fast,FALSE,,Maximum acceleration in yaw axis,0,1,MAV_PARAM_UNIT.Centi_Degrees_Sec_Sec,"0,720000:Disabled,18000:Slow,36000:Medium,54000:Fast",true,"ATC_ACCEL_Y_MAX(0,1,MAV_PARAM_UNIT.Centi_Degrees_Sec_Sec,0,720000:Disabled,18000:Slow,36000:Medium,54000:Fast,true,"""",""Maximum acceleration in yaw axis""),"
ATC_RATE_FF_ENAB,0,,Binary,0:Disabled 1:Enabled,FALSE,,Controls whether body-frame rate feedforward is enabled or disabled,0,1,MAV_PARAM_UNIT.Binary,"new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled"");}};",true,"ATC_RATE_FF_ENAB(0,1,MAV_PARAM_UNIT.Binary,new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled"");}};,true,"""",""Controls whether body-frame rate feedforward is enabled or disabled""),"
ATC_RATE_RP_MAX,18000,,,,FALSE,,Coming soon,18000,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"ATC_RATE_RP_MAX(18000,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"""",""Coming soon""),"
ATC_RATE_Y_MAX,9000,,,,FALSE,,Coming soon,9000,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"ATC_RATE_Y_MAX(9000,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"""",""Coming soon""),"
ATC_SLEW_YAW,1000,,Centi-Degrees/Sec,500 18000,FALSE,,"Maximum rate the yaw target can be updated in Loiter, RTL, Auto flight modes",1000,1,MAV_PARAM_UNIT.Centi_Degrees_Sec,"500,18000",true,"ATC_SLEW_YAW(1000,1,MAV_PARAM_UNIT.Centi_Degrees_Sec,500,18000,true,"""",""Maximum rate the yaw target can be updated in Loiter, RTL, Auto flight modes""),"
BAROGLTCH_ACCEL,1500,,,,FALSE,,Coming soon,1500,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"BAROGLTCH_ACCEL(1500,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"""",""Coming soon""),"
BAROGLTCH_DIST,500,,,,FALSE,,Coming soon,500,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"BAROGLTCH_DIST(500,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"""",""Coming soon""),"
BAROGLTCH_ENABLE,1,,,,FALSE,,Coming soon,1,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"BAROGLTCH_ENABLE(1,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"""",""Coming soon""),"
BATT_AMP_OFFSET,0,,Volts,,FALSE,,Voltage offset at zero current on current sensor,0,1,MAV_PARAM_UNIT.Volts,null,true,"BATT_AMP_OFFSET(0,1,MAV_PARAM_UNIT.Volts,null,true,"""",""Voltage offset at zero current on current sensor""),"
BATT_AMP_PERVOLT,17,,Amps/Volt,,FALSE,,Number of amps that a 1V reading on the current sensor corresponds to. On the APM2 or Pixhawk using the 3DR Power brick this should be set to 17. For the Pixhawk with the 3DR 4in1 ESC this should be 17.,17,1,MAV_PARAM_UNIT.Amps_Volt,null,true,"BATT_AMP_PERVOLT(17,1,MAV_PARAM_UNIT.Amps_Volt,null,true,"""",""Number of amps that a 1V reading on the current sensor corresponds to. On the APM2 or Pixhawk using the 3DR Power brick this should be set to 17. For the Pixhawk with the 3DR 4in1 ESC this should be 17.""),"
BATT_CAPACITY,4000,,mAh,,FALSE,,Capacity of the battery in mAh when full,4000,1,MAV_PARAM_UNIT.mAh,null,true,"BATT_CAPACITY(4000,1,MAV_PARAM_UNIT.mAh,null,true,"""",""Capacity of the battery in mAh when full""),"
BATT_CURR_PIN,3,,List,-1:Disabled 1:A1 2:A2 3:Pixhawk 12:A12 101:PX4,FALSE,,Setting this to 0 ~ 13 will enable battery current sensing on pins A0 ~ A13. For the 3DR power brick on APM2.5 it should be set to 12. On the PX4 it should be set to 101. On the Pixhawk powered from the PM connector it should be set to 3.,3,1,MAV_PARAM_UNIT.List,"-1:Disabled,1:A1,2:A2,3:Pixhawk,12:A12,101:PX4",true,"BATT_CURR_PIN(3,1,MAV_PARAM_UNIT.List,-1:Disabled,1:A1,2:A2,3:Pixhawk,12:A12,101:PX4,true,"""",""Setting this to 0 ~ 13 will enable battery current sensing on pins A0 ~ A13. For the 3DR power brick on APM2.5 it should be set to 12. On the PX4 it should be set to 101. On the Pixhawk powered from the PM connector it should be set to 3.""),"
BATT_MONITOR,4,,List,0:Disabled 3:Analog_Voltage_Only 4:Analog_Voltage_and_Current 5:SMBus 6:Bebop,FALSE,,Controls enabling monitoring of the battery's voltage and current,4,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Disabled"");put(3,""Analog_Voltage_Only"");put(4,""Analog_Voltage_and_Current"");put(5,""SMBus"");put(6,""Bebop"");}};",true,"BATT_MONITOR(4,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Disabled"");put(3,""Analog_Voltage_Only"");put(4,""Analog_Voltage_and_Current"");put(5,""SMBus"");put(6,""Bebop"");}};,true,"""",""Controls enabling monitoring of the battery's voltage and current""),"
BATT_VOLT_MULT,10.1,,,,FALSE,,"Used to convert the voltage of the voltage sensing pin (BATT_VOLT_PIN) to the actual battery's voltage (pin_voltage * VOLT_MULT). For the 3DR Power brick on APM2 or Pixhawk, this should be set to 10.1. For the Pixhawk with the 3DR 4in1 ESC this should be 12.02. For the PX4 using the PX4IO power supply this should be set to 1.",10.1,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"BATT_VOLT_MULT(10.1,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"""",""Used to convert the voltage of the voltage sensing pin (BATT_VOLT_PIN) to the actual battery's voltage (pin_voltage * VOLT_MULT). For the 3DR Power brick on APM2 or Pixhawk, this should be set to 10.1. For the Pixhawk with the 3DR 4in1 ESC this should be 12.02. For the PX4 using the PX4IO power supply this should be set to 1.""),"
BATT_VOLT_PIN,2,,List,-1:Disabled 0:A0 1:A1 2:Pixhawk 13:A13 100:PX4,FALSE,,Setting this to 0 ~ 13 will enable battery voltage sensing on pins A0 ~ A13. For the 3DR power brick on APM2.5 it should be set to 13. On the PX4 it should be set to 100. On the Pixhawk powered from the PM connector it should be set to 2.,2,1,MAV_PARAM_UNIT.List,"-1:Disabled,0:A0,1:A1,2:Pixhawk,13:A13,100:PX4",true,"BATT_VOLT_PIN(2,1,MAV_PARAM_UNIT.List,-1:Disabled,0:A0,1:A1,2:Pixhawk,13:A13,100:PX4,true,"""",""Setting this to 0 ~ 13 will enable battery voltage sensing on pins A0 ~ A13. For the 3DR power brick on APM2.5 it should be set to 13. On the PX4 it should be set to 100. On the Pixhawk powered from the PM connector it should be set to 2.""),"
BATT_VOLT2_MULT,1,,,,FALSE,,Coming soon,1,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"BATT_VOLT2_MULT(1,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"""",""Coming soon""),"
BATT_VOLT2_PIN,-1,,,,FALSE,,Coming soon,-1,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"BATT_VOLT2_PIN(-1,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"""",""Coming soon""),"
CAM_DURATION,10,,seconds,0 50,FALSE,,"How long the shutter will be held open in 10ths of a second (i.e. enter 10 for 1second, 50 for 5seconds)",10,1,MAV_PARAM_UNIT.seconds,"0,50",true,"CAM_DURATION(10,1,MAV_PARAM_UNIT.seconds,0,50,true,"""",""How long the shutter will be held open in 10ths of a second (i.e. enter 10 for 1second, 50 for 5seconds)""),"
CAM_SERVO_OFF,1100,,PWM,1000 2000,FALSE,,PWM value to move servo to when shutter is deactivated,1100,1,MAV_PARAM_UNIT.PWM,"1000,2000",true,"CAM_SERVO_OFF(1100,1,MAV_PARAM_UNIT.PWM,1000,2000,true,"""",""PWM value to move servo to when shutter is deactivated""),"
CAM_SERVO_ON,1300,,PWM,1000 2000,FALSE,,PWM value to move servo to when shutter is activated,1300,1,MAV_PARAM_UNIT.PWM,"1000,2000",true,"CAM_SERVO_ON(1300,1,MAV_PARAM_UNIT.PWM,1000,2000,true,"""",""PWM value to move servo to when shutter is activated""),"
CAM_TRIGG_DIST,0,,Meters,0 1000,FALSE,,"Distance in meters between camera triggers. If this value is non-zero then the camera will trigger whenever the GPS position changes by this number of meters regardless of what mode the APM is in. Note that this parameter can also be set in an auto mission using the DO_SET_CAM_TRIGG_DIST command, allowing you to enable/disable the triggering of the camera during the flight.",0,1,MAV_PARAM_UNIT.Meters,"0,1000",true,"CAM_TRIGG_DIST(0,1,MAV_PARAM_UNIT.Meters,0,1000,true,"""",""Distance in meters between camera triggers. If this value is non-zero then the camera will trigger whenever the GPS position changes by this number of meters regardless of what mode the APM is in. Note that this parameter can also be set in an auto mission using the DO_SET_CAM_TRIGG_DIST command, allowing you to enable/disable the triggering of the camera during the flight.""),"
CAM_TRIGG_TYPE,0,,Binary,0:Servo 1:Relay,FALSE,,how to trigger the camera to take a picture,0,1,MAV_PARAM_UNIT.Binary,"new HashMap<Integer, String>(){{put(0,""Servo"");put(1,""Relay"");}};",true,"CAM_TRIGG_TYPE(0,1,MAV_PARAM_UNIT.Binary,new HashMap<Integer, String>(){{put(0,""Servo"");put(1,""Relay"");}};,true,"""",""how to trigger the camera to take a picture""),"
CH7_OPT,17,,List,0:DoNothing 2:Flip 3:SimpleMode 4:RTL 5:SaveTrim 7:SaveWP 9:CameraTrigger 10:RangeFinder 11:Fence 13:SuperSimpleMode 14:AcroTrainer 15:Sprayer 16:Auto 17:AutoTune 18:Land 19:EPM 21:ParachuteEnable 22:ParachuteRelease 23:Parachute3pos 24:AutoMissionReset 25:AttConFeedForward 26:AttCon Accel Limits 27:Retract Mount 28:Relay On/Off 34:Relay2 On/Off 35:Relay3 On/Off 36:Relay4 On/Off 29:Landing Gear 30:Lost Copter Sound 31:Motor Emergency Stop 32:Motor Interlock 33:Brake 37:Throw 38:Avoidance,FALSE,,Select which function is performed when CH7 is above 1800 pwm,17,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""DoNothing"");put(2,""Flip"");put(3,""SimpleMode"");put(4,""RTL"");put(5,""SaveTrim"");put(7,""SaveWP"");put(9,""CameraTrigger"");put(10,""RangeFinder"");put(11,""Fence"");put(13,""SuperSimpleMode"");put(14,""AcroTrainer"");put(15,""Sprayer"");put(16,""Auto"");put(17,""AutoTune"");put(18,""Land"");put(19,""EPM"");put(21,""ParachuteEnable"");put(22,""ParachuteRelease"");put(23,""Parachute3pos"");put(24,""AutoMissionReset"");put(25,""AttConFeedForward"");put(26,""AttCon"");put(Accel"");put(Limits"");put(27,""Retract"");put(Mount"");put(28,""Relay"");put(On/Off"");put(34,""Relay2"");put(On/Off"");put(35,""Relay3"");put(On/Off"");put(36,""Relay4"");put(On/Off"");put(29,""Landing"");put(Gear"");put(30,""Lost"");put(Copter"");put(Sound"");put(31,""Motor"");put(Emergency"");put(Stop"");put(32,""Motor"");put(Interlock"");put(33,""Brake"");put(37,""Throw"");put(38,""Avoidance"");}};",true,"CH7_OPT(17,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""DoNothing"");put(2,""Flip"");put(3,""SimpleMode"");put(4,""RTL"");put(5,""SaveTrim"");put(7,""SaveWP"");put(9,""CameraTrigger"");put(10,""RangeFinder"");put(11,""Fence"");put(13,""SuperSimpleMode"");put(14,""AcroTrainer"");put(15,""Sprayer"");put(16,""Auto"");put(17,""AutoTune"");put(18,""Land"");put(19,""EPM"");put(21,""ParachuteEnable"");put(22,""ParachuteRelease"");put(23,""Parachute3pos"");put(24,""AutoMissionReset"");put(25,""AttConFeedForward"");put(26,""AttCon"");put(Accel"");put(Limits"");put(27,""Retract"");put(Mount"");put(28,""Relay"");put(On/Off"");put(34,""Relay2"");put(On/Off"");put(35,""Relay3"");put(On/Off"");put(36,""Relay4"");put(On/Off"");put(29,""Landing"");put(Gear"");put(30,""Lost"");put(Copter"");put(Sound"");put(31,""Motor"");put(Emergency"");put(Stop"");put(32,""Motor"");put(Interlock"");put(33,""Brake"");put(37,""Throw"");put(38,""Avoidance"");}};,true,"""",""Select which function is performed when CH7 is above 1800 pwm""),"
CH8_OPT,0,,List,0:DoNothing 2:Flip 3:SimpleMode 4:RTL 5:SaveTrim 7:SaveWP 9:CameraTrigger 10:RangeFinder 11:Fence 13:SuperSimpleMode 14:AcroTrainer 15:Sprayer 16:Auto 17:AutoTune 18:Land 19:EPM 21:ParachuteEnable 22:ParachuteRelease 23:Parachute3pos 24:AutoMissionReset 25:AttConFeedForward 26:AttCon Accel Limits 27:Retract Mount 28:Relay On/Off 34:Relay2 On/Off 35:Relay3 On/Off 36:Relay4 On/Off 29:Landing Gear 30:Lost Copter Sound 31:Motor Emergency Stop 32:Motor Interlock 33:Brake 37:Throw 38:Avoidance,FALSE,,Select which function is performed when CH8 is above 1800 pwm,0,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""DoNothing"");put(2,""Flip"");put(3,""SimpleMode"");put(4,""RTL"");put(5,""SaveTrim"");put(7,""SaveWP"");put(9,""CameraTrigger"");put(10,""RangeFinder"");put(11,""Fence"");put(13,""SuperSimpleMode"");put(14,""AcroTrainer"");put(15,""Sprayer"");put(16,""Auto"");put(17,""AutoTune"");put(18,""Land"");put(19,""EPM"");put(21,""ParachuteEnable"");put(22,""ParachuteRelease"");put(23,""Parachute3pos"");put(24,""AutoMissionReset"");put(25,""AttConFeedForward"");put(26,""AttCon"");put(Accel"");put(Limits"");put(27,""Retract"");put(Mount"");put(28,""Relay"");put(On/Off"");put(34,""Relay2"");put(On/Off"");put(35,""Relay3"");put(On/Off"");put(36,""Relay4"");put(On/Off"");put(29,""Landing"");put(Gear"");put(30,""Lost"");put(Copter"");put(Sound"");put(31,""Motor"");put(Emergency"");put(Stop"");put(32,""Motor"");put(Interlock"");put(33,""Brake"");put(37,""Throw"");put(38,""Avoidance"");}};",true,"CH8_OPT(0,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""DoNothing"");put(2,""Flip"");put(3,""SimpleMode"");put(4,""RTL"");put(5,""SaveTrim"");put(7,""SaveWP"");put(9,""CameraTrigger"");put(10,""RangeFinder"");put(11,""Fence"");put(13,""SuperSimpleMode"");put(14,""AcroTrainer"");put(15,""Sprayer"");put(16,""Auto"");put(17,""AutoTune"");put(18,""Land"");put(19,""EPM"");put(21,""ParachuteEnable"");put(22,""ParachuteRelease"");put(23,""Parachute3pos"");put(24,""AutoMissionReset"");put(25,""AttConFeedForward"");put(26,""AttCon"");put(Accel"");put(Limits"");put(27,""Retract"");put(Mount"");put(28,""Relay"");put(On/Off"");put(34,""Relay2"");put(On/Off"");put(35,""Relay3"");put(On/Off"");put(36,""Relay4"");put(On/Off"");put(29,""Landing"");put(Gear"");put(30,""Lost"");put(Copter"");put(Sound"");put(31,""Motor"");put(Emergency"");put(Stop"");put(32,""Motor"");put(Interlock"");put(33,""Brake"");put(37,""Throw"");put(38,""Avoidance"");}};,true,"""",""Select which function is performed when CH8 is above 1800 pwm""),"
CIRCLE_RADIUS,500,,cm,0 10000,FALSE,,Defines the radius of the circle the vehicle will fly when in Circle flight mode,500,1,MAV_PARAM_UNIT.cm,"0,10000",true,"CIRCLE_RADIUS(500,1,MAV_PARAM_UNIT.cm,0,10000,true,"""",""Defines the radius of the circle the vehicle will fly when in Circle flight mode""),"
CIRCLE_RATE,20,,deg/s,-90 90,FALSE,,"Circle mode's turn rate in deg/sec. Positive to turn clockwise, negative for counter clockwise",20,1,MAV_PARAM_UNIT.deg_s,"-90,90",true,"CIRCLE_RATE(20,1,MAV_PARAM_UNIT.deg_s,-90,90,true,"""",""Circle mode's turn rate in deg/sec. Positive to turn clockwise, negative for counter clockwise""),"
